,0
0,200101
1,200102
2,200103
3,200104
4,200105
5,200201
6,200202
7,200203
8,200204
9,200301
10,200302
11,200401
12,200402
13,200403
14,200404
15,200405
16,200406
17,200501
18,200502
19,200503
20,200504
21,200601
22,200602
23,200603
24,200604
25,200605
26,200606
27,200607
28,200701
29,200702
30,200703
31,200704
32,200801
33,200802
34,200803
35,200804
36,200901
37,200902
38,200903
39,201001
40,201002
41,201003
42,201004
43,201101
44,201102
45,201103
46,201104
47,201201
48,201202
49,201203
50,201204
51,201205
52,201206
53,201207
54,201208
55,201209
56,201210
57,201301
58,201302
59,201303
60,201401
61,201402
62,201403
63,201501
64,201502
65,201503
66,201504
67,201505
68,201506
69,201601
70,201602
71,201701
72,201801
73,201802
74,201803
75,201804
76,201901
77,201902
78,201903
79,202001
80,202002
81,202003
82,202004
83,202101
84,202102
85,202103
86,202104
87,202201
88,202202
89,202203
90,202204
91,202301
92,202302
93,202303
94,202304
95,202305
96,202306
97,202401
98,202402
99,202403
100,202404
101,202405
102,202501
103,202502
104,202503
105,202504
106,202601
107,202602
108,202603
109,202604
110,202701
111,202702
112,202703
113,202704
114,202801
115,202802
116,202803
117,202804
118,202901
119,202902
120,202903
121,202904
122,203001
123,203002
124,203003
125,203101
126,203102
127,203103
128,203104
129,203201
130,203202
131,203203
132,203204
133,203301
134,203302
135,203303
136,203401
137,203402
138,203403
139,203404
140,203405
141,203501
142,203502
143,203503
144,203504
145,203601
146,203602
147,203603
148,203604
149,203605
150,203701
151,203702
152,203703
153,203704
154,203801
155,203802
156,203901
157,203902
158,203903
159,203904
160,203905
161,204001
162,204002
163,204101
164,204102
165,204103
166,204104
167,204201
168,204202
169,204203
170,204204
171,204205
172,204206
173,204207
174,204301
175,204302
176,204303
177,204401
178,204402
179,204403
180,204404
181,204405
182,204406
183,204407
184,204501
185,204502
186,204503
187,204504
188,204601
189,204602
190,204603
191,204604
192,204701
193,204702
194,204703
195,204704
196,204705
197,204801
198,204802
199,204803
200,204804
201,204805
202,204901
203,204902
204,204903
205,204904
206,204905
207,204906
208,205001
209,205002
210,205003
211,205004
212,205005
213,205006
214,205007
215,205101
216,205102
217,205103
218,205104
219,205201
220,205202
221,205203
222,205301
223,205302
224,205303
225,205304
226,205305
227,205306
228,205307
229,205401
230,205402
231,205403
232,205404
233,205405
234,205406
235,205501
236,205502
237,205503
238,205504
239,205505
240,205601
241,205602
242,205603
243,205604
244,205605
245,205701
246,205702
247,205703
248,205801
249,205802
250,205803
251,205804
252,205805
253,205901
254,205902
255,205903
256,205904
257,206001
258,206002
259,206101
260,206102
261,206103
262,206201
263,206202
264,206203
265,206204
266,206205
267,206206
268,206301
269,206302
270,206303
271,206304
272,206401
273,206402
274,206403
275,206404
276,206405
277,206501
278,206502
279,206503
280,206504
281,206505
282,206506
283,206601
284,206602
285,206603
286,206701
287,206702
288,206703
289,206704
290,206705
291,206706
292,206801
293,206802
294,206803
295,206804
296,206901
297,206902
298,206903
299,206904
300,206905
301,206906
302,206907
303,206908
304,206909
305,206910
306,206911
307,206912
308,207001
309,207002
310,207003
311,207004
312,207101
313,207102
314,207103
315,207104
316,207105
317,207201
318,207202
319,207203
320,207204
321,207301
322,207302
323,207303
324,207304
325,207401
326,207402
327,207403
328,207501
329,207502
330,207503
331,207504
332,207601
333,207602
334,207603
335,207604
336,207605
337,207606
338,207701
339,207702
340,207703
341,207801
342,207802
343,207803
344,207804
345,207901
346,207902
347,207903
348,208001
349,208002
350,208101
351,208102
352,208201
353,208202
354,208203
355,208301
356,208302
357,208303
358,208304
359,208401
360,208402
361,208403
362,208501
363,208502
364,208503
365,208504
366,208505
367,208506
368,208601
369,208602
370,208603
371,208604
372,208605
373,208606
374,208607
375,208608
376,208609
377,208701
378,208702
379,208703
380,208801
381,208802
382,208803
383,208804
384,208805
385,208806
386,208901
387,208902
388,208903
389,208904
390,209001
391,209002
392,209003
393,209004
394,209005
395,209101
396,209102
397,209103
398,209104
399,209201
400,209202
401,209203
402,209301
403,209302
404,209303
405,209304
406,209305
407,209401
408,209402
409,209403
410,209404
411,209405
412,209501
413,209502
414,209503
415,209504
416,209505
417,209506
418,209601
419,209602
420,209603
421,209604
422,209605
423,209701
424,209702
425,209801
426,209802
427,209803
428,209804
429,209805
430,209806
431,209807
432,209901
433,209902
434,209903
435,210001
436,210002
437,210101
438,210102
439,210103
440,210201
441,210202
442,210203
443,210204
444,210205
445,210206
446,210301
447,210302
448,210303
449,210304
450,210401
451,210402
452,210403
453,210404
454,210405
455,210406
456,210501
457,210502
458,210503
459,210504
460,210505
461,210506
462,210601
463,210602
464,210603
465,210604
466,210605
467,210701
468,210702
469,210703
470,210704
471,210801
472,210802
473,210803
474,210804
475,210805
476,210806
477,210807
478,210808
479,210901
480,210902
481,210903
482,210904
483,211001
484,211002
485,211003
486,211004
487,211005
488,211006
489,211101
490,211102
491,211103
492,211104
493,211201
494,211202
495,211203
496,211204
497,211301
498,211302
499,211303
500,211304
501,211401
502,211402
503,211403
504,211404
505,211501
506,211502
507,211503
508,211504
509,211505
510,211506
511,211601
512,211602
513,211603
514,211604
515,211701
516,211702
517,211703
518,211801
519,211802
520,211803
521,211804
522,211805
523,211901
524,211902
525,211903
526,211904
527,212001
528,212002
529,212003
530,212101
531,212102
532,212103
533,212104
534,212105
535,212106
536,212107
537,212201
538,212202
539,212203
540,212301
541,212302
542,212303
543,212304
544,212305
545,212306
546,212307
547,212308
548,212401
549,212402
550,212403
551,212404
552,212405
553,212406
554,212501
555,212502
556,212503
557,212504
558,212505
559,212506
560,212601
561,212602
562,212603
563,212604
564,212605
565,212701
566,212702
567,212703
568,212704
569,212801
570,212802
571,212803
572,212804
573,212901
574,212902
575,212903
576,212904
577,212905
578,212906
579,212907
580,212908
581,212909
582,212910
583,213001
584,213002
585,213003
586,213004
587,213005
588,213101
589,213102
590,213103
591,213104
592,213201
593,213202
594,213203
595,213204
596,213301
597,213302
598,213303
599,213304
600,213401
601,213402
602,213403
603,213404
604,213501
605,213502
606,213601
607,213602
608,213603
609,213604
610,213605
611,213606
612,213701
613,213702
614,213703
615,213704
616,213705
617,213801
618,213802
619,213901
620,213902
621,213903
622,213904
623,213905
624,213906
625,214001
626,214002
627,214003
628,214004
629,214005
630,214101
631,214102
632,214103
633,214104
634,214105
635,214201
636,214202
637,214203
638,214204
639,214205
640,214206
641,214301
642,214302
643,214303
644,214401
645,214402
646,214501
647,214502
648,214503
649,214504
650,214505
651,214506
652,214601
653,214602
654,214701
655,214702
656,214703
657,214704
658,214705
659,214801
660,214802
661,214803
662,214901
663,214902
664,214903
665,215001
666,215002
667,215003
668,215101
669,215102
670,215201
671,215202
672,215203
673,215204
674,215301
675,215302
676,215303
677,215304
678,215305
679,215306
680,215307
681,215308
682,215401
683,215402
684,215403
685,215501
686,215502
687,215503
688,215504
689,215505
690,215601
691,215602
692,215603
693,215604
694,215605
695,215701
696,215702
697,215703
698,215704
699,215705
700,215801
701,215802
702,215803
703,215804
704,215901
705,215902
706,215903
707,215904
708,216001
709,216002
710,216101
711,216102
712,216103
713,216104
714,216105
715,216106
716,216201
717,216202
718,216203
719,216204
720,216205
721,216206
722,216301
723,216302
724,216303
725,216304
726,216305
727,216401
728,216402
729,216403
730,216404
731,216405
732,216406
733,216501
734,216502
735,216503
736,216504
737,216505
738,216506
739,216507
740,216601
741,216602
742,216701
743,216702
744,216703
745,216704
746,216801
747,216802
748,216803
749,216804
750,216805
751,216901
752,216902
753,216903
754,216904
755,216905
756,216906
757,216907
758,217001
759,217002
760,217003
761,217004
762,217101
763,217102
764,217103
765,217104
766,217105
767,217106
768,217201
769,217202
770,217203
771,217204
772,217301
773,217302
774,217303
775,217304
776,217305
777,217401
778,217402
779,217501
780,217502
781,217503
782,217504
783,217505
784,217601
785,217602
786,217603
787,217701
788,217702
789,217801
790,217802
791,217803
792,217804
793,217901
794,217902
795,217903
796,217904
797,217905
798,217906
799,217907
800,218001
801,218101
802,218102
803,218103
804,218104
805,218201
806,218202
807,218203
808,218204
809,218301
810,218302
811,218303
812,218304
813,218401
814,218402
815,218403
816,218404
817,218405
818,218501
819,218502
820,218503
821,218601
822,218602
823,218603
824,218604
825,218605
826,218701
827,218702
828,218703
829,218704
830,218705
831,218706
832,218801
833,218802
834,218803
835,218804
836,218901
837,218902
838,218903
839,218904
840,218905
841,218906
842,218907
843,218908
844,218909
845,219001
846,219002
847,219003
848,219004
849,219005
850,219101
851,219102
852,219103
853,219104
854,219201
855,219202
856,219203
857,219204
858,219301
859,219302
860,219303
861,219304
862,219401
863,219402
864,219403
865,219404
866,219405
867,219406
868,219407
869,219408
870,219409
871,219410
872,219501
873,219502
874,219503
875,219504
876,219505
